"Release_Week","Region","Week","Sites_Reporting","Total_Patient_Visits","Total_ILI","Perc_Unweighted_ILI","Perc_Weighted_ILI"
"1241","National",201240,1441,649754,8311,1.279,1.12
"1241","National",201241,1180,546068,6939,1.271,1.058
"1241","Region 1",201240,121,46050,244,0.53,0.459
"1241","Region 1",201241,98,33864,174,0.514,0.441
"1241","Region 2",201240,148,109642,1491,1.36,0.755
"1241","Region 2",201241,51,88141,1165,1.322,0.974
"1241","Region 3",201240,189,110784,1226,1.107,1.018
"1241","Region 3",201241,175,104175,1169,1.122,0.754
"1241","Region 4",201240,288,102685,1490,1.451,1.216
"1241","Region 4",201241,240,80075,1151,1.437,1.279
"1241","Region 5",201240,222,77737,959,1.234,0.99
"1241","Region 5",201241,194,63764,775,1.215,0.899
"1241","Region 6",201240,132,74871,1493,1.994,1.863
"1241","Region 6",201241,125,68820,1430,2.078,2.017
"1241","Region 7",201240,62,16618,145,0.873,0.908
"1241","Region 7",201241,60,13260,107,0.807,0.824
"1241","Region 8",201240,87,43785,362,0.827,0.706
"1241","Region 8",201241,83,39439,352,0.893,0.777
"1241","Region 9",201240,151,53799,810,1.506,1.314
"1241","Region 9",201241,115,41246,531,1.287,0.842
"1241","Region 10",201240,41,13783,91,0.66,0.565
"1241","Region 10",201241,39,13284,85,0.64,0.603
"1242","National",201240,1543,677767,8714,1.286,1.218
"1242","National",201241,1498,634691,8798,1.386,1.213
"1242","National",201242,1249,576660,7406,1.284,1.182
"1242","Region 1",201240,122,46454,251,0.54,0.467
"1242","Region 1",201241,112,37395,181,0.484,0.424
"1242","Region 1",201242,105,40020,211,0.527,0.58
"1242","Region 2",201240,154,111013,1492,1.344,0.744
"1242","Region 2",201241,150,103632,1633,1.576,1.208
"1242","Region 2",201242,60,96832,1247,1.288,0.766
"1242","Region 3",201240,200,115469,1303,1.128,1.063
"1242","Region 3",201241,195,111770,1378,1.233,1.093
"1242","Region 3",201242,178,106948,1296,1.212,1.08
"1242","Region 4",201240,305,107482,1518,1.412,1.203
"1242","Region 4",201241,285,100563,1611,1.602,1.423
"1242","Region 4",201242,257,97683,1531,1.567,1.46
"1242","Region 5",201240,242,81793,992,1.213,0.986
"1242","Region 5",201241,238,81030,1015,1.253,0.98
"1242","Region 5",201242,208,63760,839,1.316,0.945
"1242","Region 6",201240,136,75657,1519,2.008,1.891
"1242","Region 6",201241,149,77167,1845,2.391,2.292
"1242","Region 6",201242,128,67858,1253,1.847,1.772
"1242","Region 7",201240,67,17483,169,0.967,1.026
"1242","Region 7",201241,70,17789,168,0.944,0.923
"1242","Region 7",201242,60,16541,229,1.384,1.258
"1242","Region 8",201240,105,44506,364,0.818,0.725
"1242","Region 8",201241,105,41155,364,0.884,0.823
"1242","Region 8",201242,98,43475,373,0.858,0.711
"1242","Region 9",201240,166,62971,1016,1.613,1.9
"1242","Region 9",201241,151,49863,504,1.011,0.968
"1242","Region 9",201242,115,29713,331,1.114,1.329
"1242","Region 10",201240,46,14939,90,0.602,0.514
"1242","Region 10",201241,43,14327,99,0.691,0.615
"1242","Region 10",201242,40,13830,96,0.694,0.615
"1243","National",201240,1599,707826,8587,1.213,1.166
"1243","National",201241,1576,678490,9118,1.344,1.29
"1243","National",201242,1478,686763,8607,1.253,1.284
"1243","National",201243,1205,598287,7736,1.293,1.092
"1243","Region 1",201240,131,47566,254,0.534,0.464
"1243","Region 1",201241,126,39974,201,0.503,0.437
"1243","Region 1",201242,123,43865,250,0.57,0.595
"1243","Region 1",201243,97,37546,226,0.602,0.476
"1243","Region 2",201240,158,111238,1493,1.342,0.746
"1243","Region 2",201241,159,107154,1646,1.536,1.173
"1243","Region 2",201242,104,104257,1370,1.314,1.194
"1243","Region 2",201243,47,89886,1280,1.424,0.806
"1243","Region 3",201240,205,116339,1306,1.123,1.052
"1243","Region 3",201241,195,110892,1371,1.236,1.094
"1243","Region 3",201242,188,109036,1313,1.204,1.054
"1243","Region 3",201243,167,104583,1216,1.163,0.825
"1243","Region 4",201240,315,122744,1335,1.088,1.025
"1243","Region 4",201241,299,116181,1418,1.221,1.194
"1243","Region 4",201242,290,120849,1366,1.13,1.18
"1243","Region 4",201243,266,110081,1411,1.282,1.223
"1243","Region 5",201240,246,88074,993,1.127,0.918
"1243","Region 5",201241,245,89171,1031,1.156,0.912
"1243","Region 5",201242,242,88228,1018,1.154,0.905
"1243","Region 5",201243,205,73728,783,1.062,0.847
