"Release_Week","Region","Week","Sites_Reporting","Total_Patient_Visits","Total_ILI","Perc_Unweighted_ILI","Perc_Weighted_ILI"
"1041","National",201040,1383,591200,7346,1.243,1.222
"1041","National",201041,1220,537485,7279,1.354,1.422
"1041","Region 1",201040,108,43286,215,0.497,0.436
"1041","Region 1",201041,95,33281,242,0.727,0.662
"1041","Region 2",201040,99,96737,1088,1.125,0.827
"1041","Region 2",201041,55,89852,1257,1.399,1.013
"1041","Region 3",201040,178,88825,985,1.109,1.025
"1041","Region 3",201041,164,86208,1110,1.288,1.555
"1041","Region 4",201040,335,125496,1682,1.34,1.007
"1041","Region 4",201041,307,118787,1820,1.532,1.179
"1041","Region 5",201040,181,64705,569,0.879,0.729
"1041","Region 5",201041,166,59954,635,1.059,0.886
"1041","Region 6",201040,166,72043,1626,2.257,2.089
"1041","Region 6",201041,145,58613,1117,1.906,1.803
"1041","Region 7",201040,76,19146,204,1.065,1.176
"1041","Region 7",201041,70,18358,209,1.138,1.332
"1041","Region 8",201040,78,33577,135,0.402,0.368
"1041","Region 8",201041,80,33942,92,0.271,0.248
"1041","Region 9",201040,129,37376,788,2.108,2.34
"1041","Region 9",201041,109,30525,729,2.388,2.806
"1041","Region 10",201040,33,10009,54,0.54,0.511
"1041","Region 10",201041,29,7965,68,0.854,1.025
"1042","National",201040,1509,644297,7587,1.178,1.166
"1042","National",201041,1490,632869,8251,1.304,1.334
"1042","National",201042,1279,591496,7422,1.255,1.246
"1042","Region 1",201040,116,45542,219,0.481,0.424
"1042","Region 1",201041,114,40442,268,0.663,0.634
"1042","Region 1",201042,102,40407,252,0.624,0.622
"1042","Region 2",201040,116,103736,1156,1.114,0.939
"1042","Region 2",201041,113,102649,1369,1.334,1.131
"1042","Region 2",201042,61,91199,1177,1.291,0.867
"1042","Region 3",201040,191,91903,1020,1.11,1.021
"1042","Region 3",201041,188,91858,1228,1.337,1.453
"1042","Region 3",201042,162,92424,1097,1.187,1.001
"1042","Region 4",201040,363,144627,1722,1.191,0.982
"1042","Region 4",201041,361,142852,1927,1.349,1.119
"1042","Region 4",201042,321,135684,1935,1.426,1.187
"1042","Region 5",201040,204,72664,590,0.812,0.676
"1042","Region 5",201041,210,74022,714,0.965,0.82
"1042","Region 5",201042,172,74278,676,0.91,0.868
"1042","Region 6",201040,176,73608,1646,2.236,2.067
"1042","Region 6",201041,168,72876,1436,1.97,1.877
"1042","Region 6",201042,166,62768,1378,2.195,2.096
"1042","Region 7",201040,79,19640,207,1.054,1.139
"1042","Region 7",201041,75,19464,215,1.105,1.176
"1042","Region 7",201042,70,18195,141,0.775,0.841
"1042","Region 8",201040,83,35758,140,0.392,0.365
